英文,詞性,中文,級別
a/an,art.,一個；一（冠詞）,1
ability,n.,能力,1
able,adj.,能幹的,1
about,prep./adv.,在...周圍,1
above,prep./adv./adj.,在上方,1
abroad,adv.,往國外,1
across,prep./adv.,越過,1
act,n./v.,行動,1
action,n.,行動,1
actor/actress,n.,男演員/女演員,1
add,v.,增加,1
afraid,adj.,害怕的,1
after,prep./conj./adv.,在...之後,1
afternoon,n.,午後,1
again,adv.,再一次,1
age,n./v.,年齡,1
ago,adv.,以前,1
agree(ment),v./(n.),同意,1
air,n.,空氣,1
airplane/plane,n.,飛機,1
airport,n.,飛機場,1
all,adj./adv./pron./n.,所有的,1
allow,v.,允許,1
almost,adv.,幾乎,1
along,prep./adv.,平行地,1
already,adv.,已經,1
also,adv.,也,1
although,conj.,雖然,1
always,adv.,總是,1
am/a.m.,adv.,上午,1
and,conj.,和,1
angry,adj.,生氣的,1
animal,n.,動物,1
another,adj./pron.,另外的,1
answer,n./v.,答案,1
ant,n.,螞蟻,1
any,pron./adj./adv.,任何的,1
anybody/anyone,pron.,任何人,1
anything,pron.,任何事,1
apartment,n.,房間,1
appear,v.,出現,1
apple,n.,蘋果,1
area,n.,區域,1
arm,n./v.,手臂,1
around,prep./adv.,包圍,1
arrive,v.,到達,1
art,n.,藝術,1
as,conj./adv./prep.,同樣地,1
ask,v.,問,1
at,prep.,在,1
attack,n./v.,攻擊,1
aunt,n.,阿姨,1
away,adv.,離去,1
baby,n.,嬰孩,1
back,adv./n./v./adj.,後面的,1
bad,adj.,壞的,1
bag,n.,袋子,1
ball,n./v.,球,1
banana,n.,香蕉,1
band,n.,帶子,1
bank,n./v.,銀行,1
baseball,n.,棒球,1
basket,n.,籃,1
basketball,n.,籃球,1
bat,n./v.,蝙蝠,1
bath,n.,沐浴,1
bathroom,n.,浴室,1
be,v./aux.,是,1
beach,n./v.,海灘,1
bean,n.,豆子,1
bear,v./n.,熊,1
beautiful,adj.,美麗的,1
because,conj.,因為,1
become,v.,變成,1
bed,n.,床,1
bedroom,n.,臥室,1
bee,n.,蜜蜂,1
beef,n.,牛肉,1
before,prep./conj./adv.,在...之前,1
begin,v.,開始,1
behind,prep./adv.,在……後面,1
believe,v.,相信,1
bell,n.,鈴,1
belong,v.,屬於,1
below,adv./prep.,在下面,1
belt,n./v.,帶子,1
